64
#x	y	position for each electrode
0.00	0.00
0.25	0.00
0.50	0.00
0.75	0.00
1.00	0.00
1.25	0.00
1.50	0.00
1.75	0.00
2.00	0.00
2.25	0.00
2.50	0.00
2.75	0.00
3.00	0.00
3.25	0.00
3.50	0.00
3.75	0.00
4.00	0.00
4.25	0.00
4.50	0.00
4.75	0.00
5.00	0.00
5.25	0.00
5.50	0.00
5.75	0.00
6.00	0.00
6.25	0.00
6.50	0.00
6.75	0.00
7.00	0.00
7.25	0.00
7.50	0.00
7.75	0.00
8.00	0.00
8.25	0.00
8.50	0.00
8.75	0.00
9.00	0.00
9.25	0.00
9.50	0.00
9.75	0.00
10.00	0.00
10.25	0.00
10.50	0.00
10.75	0.00
11.00	0.00
11.25	0.00
11.50	0.00
11.75	0.00
12.00	0.00
12.25	0.00
12.50	0.00
12.75	0.00
13.00	0.00
13.25	0.00
13.50	0.00
13.75	0.00
14.00	0.00
14.25	0.00
14.50	0.00
14.75	0.00
15.00	0.00
15.25	0.00
15.50	0.00
15.75	0.00
2693
#a	b	m	n	rho	err/%
31	40	35	36	1.759240	1.329241
31	40	34	35	1.815460	1.293323
31	40	33	34	3.236620	0.799811
31	40	32	33	9.437710	0.385579
30	57	48	51	1.978550	1.200677
30	57	33	36	3.069960	0.834035
44	62	58	60	3.754050	0.712916
30	48	40	42	1.024020	2.161997
35	53	43	45	0.866467	2.524323
30	48	38	40	1.193770	1.878653
35	53	41	43	1.014190	2.181310
30	48	36	38	1.210370	1.855210
35	44	41	42	2.884780	0.876702
35	44	36	37	8.841790	0.400151
30	39	36	37	3.403700	0.768864
30	39	34	35	1.743980	1.339390
29	56	32	35	3.000020	0.849531
34	52	38	40	2.080230	1.150268
29	47	43	45	2.851900	0.884856
43	61	57	59	4.215980	0.653362
29	47	39	41	1.467860	1.559483
34	52	42	44	0.918652	2.390548
29	47	37	39	0.934662	2.352501
29	47	35	37	1.127720	1.978764
29	47	33	35	1.619840	1.429057
29	38	34	35	1.900390	1.243093
29	38	32	33	2.177820	1.106313
29	38	31	32	2.804120	0.897048
43	52	48	49	1.284770	1.757585
29	38	30	31	9.377920	0.386957
28	64	56	60	2.287610	1.061346
28	64	52	56	1.041590	2.128384
28	64	48	52	0.987943	2.234762
28	64	44	48	0.789223	2.754810
28	64	40	44	0.770055	2.819166
28	64	36	40	1.247490	1.805047
28	64	32	36	2.435110	1.007317
28	55	49	52	7.548560	0.439688
28	55	43	46	1.079500	2.059588
28	55	40	43	0.753391	2.877776
28	55	31	34	2.910120	0.870542
28	46	40	42	1.391310	1.635967
33	51	41	43	0.852311	2.563436
28	46	36	38	1.001160	2.207495
28	46	34	36	1.076700	2.064503
28	46	32	34	1.784580	1.312772
28	46	30	32	3.907710	0.691543
33	42	35	36	3.452460	0.760397
28	37	35	36	11.328700	0.349490
28	37	31	32	1.873800	1.258330
42	51	48	49	1.969100	1.205627
28	37	30	31	2.963790	0.857845
27	63	55	59	2.389970	1.023144
27	63	51	55	0.911915	2.406957
27	63	47	51	0.956547	2.302553
27	63	43	47	0.761938	2.847395
27	63	39	43	0.912744	2.404925
27	63	35	39	1.109140	2.009075
27	63	31	35	2.396700	1.020747
27	54	42	45	0.801033	2.716692
27	54	39	42	1.003840	2.202054
27	54	36	39	0.890489	2.460795
12	21	16	17	8.502470	0.409361
12	21	15	16	10.524600	0.363251
11	56	36	41	0.793807	2.739880
17	26	19	20	18.385800	0.280355
17	26	24	25	6.858980	0.466865
22	31	24	25	3.652980	0.727955
18	27	22	23	2.255710	1.073960
11	56	21	26	1.594720	1.448900
15	33	17	19	28.871100	0.240049
19	55	23	27	3.984100	0.681531
30	48	44	46	5.124360	0.567567
11	38	32	35	3.256380	0.795985
12	39	30	33	1.554190	1.482267
17	53	45	49	2.786410	0.901673
24	51	27	30	3.366400	0.775506
11	38	20	23	2.773510	0.905079
30	39	35	36	2.508660	0.982750
11	29	23	25	1.650030	1.406009
19	37	23	25	2.919130	0.868378
44	53	49	50	1.580110	1.460730
11	29	19	21	4.197330	0.655512
8	26	10	12	23.592500	0.255862
16	43	34	37	1.283800	1.758785
11	29	13	15	20.915700	0.266931
17	44	26	29	1.015330	2.179051
11	20	18	19	34.519600	0.228484
12	57	32	37	0.724374	2.986269
32	59	41	44	0.857467	2.549041
11	20	16	17	11.160800	0.352199
16	34	20	22	11.443500	0.347683
13	58	28	33	0.832085	2.621630
19	28	21	22	17.286700	0.287411
11	20	14	15	10.049800	0.372411
6	42	10	14	14.640800	0.308743
10	64	46	52	1.021670	2.166580
1	55	43	49	1.825030	1.287430
10	19	16	17	17.448800	0.286315
10	64	34	40	0.707466	3.053591
3	48	38	43	1.836090	1.280695
28	55	37	40	1.073780	2.069657
12	21	17	18	12.579300	0.331583
35	53	39	41	2.439450	1.005827
10	46	38	42	2.146250	1.120095
10	46	18	22	5.344930	0.551134
50	59	54	55	1.338480	1.693853
31	49	37	39	1.115090	1.999258
2	38	18	22	1.427700	1.598585
10	46	14	18	15.189600	0.303708
10	46	30	34	0.814885	2.673391
3	12	9	10	15.866100	0.297980
10	37	28	31	1.438910	1.587451
10	28	20	22	2.800400	0.898014
9	27	17	19	4.558220	0.617023
10	19	14	15	9.784470	0.377917
3	48	23	28	0.566216	3.773097
2	56	38	44	0.875591	2.499784
10	19	11	12	35.499000	0.226853
9	63	33	39	0.631556	3.400261
3	48	33	38	0.922813	2.380532
34	61	40	43	1.245800	1.807266
9	54	39	44	1.024370	2.161316
29	56	35	38	1.345900	1.685449
13	22	15	16	14.300900	0.312056
9	54	34	39	0.690927	3.122632
9	54	29	34	0.732065	2.956675
9	54	24	29	0.738801	2.931262
8	17	15	16	35.940100	0.226148
3	39	11	15	4.172970	0.658350
9	45	37	41	3.070140	0.833997
3	30	12	15	2.646250	0.940459
43	52	49	50	1.536570	1.497322
9	36	30	33	3.573870	0.740319
9	36	24	27	0.862790	2.534359
44	62	56	58	1.681920	1.382562
9	36	12	15	16.779900	0.290976
37	55	47	49	1.139470	1.960106
8	44	28	32	0.822944	2.648869
9	27	13	15	9.597320	0.381983
18	63	33	38	0.817678	2.664838
8	35	29	32	3.366940	0.775409
10	64	22	28	0.984791	2.241373
19	37	25	27	1.487190	1.541415
9	63	39	45	0.700817	3.080955
11	29	17	19	6.857460	0.466930
12	30	20	22	3.704460	0.720192
17	44	35	38	1.344710	1.686791
12	21	13	14	33.054500	0.231104
8	62	20	26	1.811070	1.296048
29	47	31	33	4.014430	0.677661
9	45	25	29	0.719906	3.003752
3	57	9	15	8.629480	0.405829
8	53	28	33	0.728971	2.968506
10	19	12	13	14.000800	0.315114
51	60	58	59	10.738200	0.359395
8	53	23	28	0.731942	2.957144
51	60	53	54	9.850660	0.376515
8	53	13	18	12.124500	0.337668
